age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job,marital,education,default,contact,month,day_of_week,poutcome,target_campaign,target_personal_loan,target_housing_loan
30.0,487.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,1,1,2,0,0,6,0,1,no,no,yes
39.0,346.0,4.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,7,2,3,0,1,6,0,1,no,no,no
25.0,227.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.962,5228.1,7,1,3,0,1,4,4,1,no,no,yes
47.0,58.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.191,5195.8,0,1,6,0,0,7,1,1,no,no,yes
32.0,128.0,3.0,999.0,2.0,-1.1,94.199,-37.5,0.884,4963.6,7,2,6,0,0,9,2,0,no,no,no
32.0,290.0,4.0,999.0,0.0,-1.1,94.199,-37.5,0.879,4963.6,0,2,6,0,0,9,1,1,no,no,yes
31.0,68.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,7,0,5,0,0,7,3,0,no,no,no
36.0,148.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.968,5228.1,6,2,0,0,0,3,2,1,no,no,no
36.0,97.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,0,1,3,0,1,6,4,1,no,no,no
47.0,211.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.958,5228.1,1,1,0,0,1,4,2,1,no,no,yes
29.0,553.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,0,2,3,0,0,6,0,1,no,no,no
27.0,698.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,7,2,6,0,0,3,4,1,no,no,no
44.0,191.0,6.0,999.0,0.0,1.4,93.918,-42.7,4.957,5228.1,0,0,6,0,0,3,4,1,no,no,no
46.0,59.0,4.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,0,0,6,0,1,3,1,1,no,no,yes
50.0,849.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1,1,0,0,0,3,3,1,yes,yes,no
39.0,222.0,1.0,12.0,2.0,-1.8,93.369,-34.8,0.639,5008.7,9,0,3,0,0,5,1,2,yes,no,no
29.0,626.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.967,5228.1,9,2,6,0,0,1,4,1,no,yes,yes
40.0,119.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,4,1,3,0,0,1,4,1,no,yes,no
38.0,479.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,9,1,5,0,0,1,1,1,yes,no,yes
36.0,446.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,9,0,5,0,1,6,4,1,no,no,no
34.0,109.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,0,1,6,0,0,1,3,1,no,no,no
38.0,113.0,1.0,999.0,1.0,-1.8,92.843,-50.0,1.687,5099.1,9,1,6,0,0,5,3,0,no,yes,yes
51.0,151.0,2.0,999.0,0.0,-2.9,92.963,-40.8,1.268,5076.2,9,2,6,0,0,4,0,1,no,no,no
48.0,42.0,7.0,999.0,0.0,1.4,93.444,-36.1,4.962,5228.1,9,1,6,0,0,1,2,1,no,no,no
28.0,525.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1,2,2,0,1,4,4,1,no,no,yes
36.0,57.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.859,5191.0,1,1,1,0,1,6,4,1,no,no,yes
46.0,499.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,4,0,3,0,0,7,4,1,no,no,no
76.0,126.0,1.0,999.0,1.0,-1.7,94.027,-38.3,0.899,4991.6,5,1,6,0,0,1,2,0,no,no,no
45.0,211.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,2,0,5,0,0,3,3,1,no,no,yes
32.0,340.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,3,1,0,0,0,6,0,1,no,yes,yes
32.0,132.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.592,5195.8,0,1,6,0,1,7,2,1,no,no,no
29.0,79.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,0,2,2,0,0,6,1,1,no,no,no
44.0,341.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.97,5228.1,7,1,5,0,0,1,1,1,no,no,no
32.0,157.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.957,5228.1,7,1,3,0,0,3,0,1,no,yes,no
56.0,252.0,1.0,999.0,2.0,-2.9,92.963,-40.8,1.26,5076.2,5,1,6,0,0,4,4,0,no,no,yes
33.0,263.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,1,1,2,0,0,6,2,1,no,no,yes
39.0,215.0,3.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,4,1,3,0,0,1,0,1,no,no,no
24.0,89.0,2.0,3.0,1.0,-3.4,92.379,-29.8,0.77,5017.5,9,1,6,0,0,9,3,2,yes,yes,yes
33.0,143.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,0,2,6,0,0,6,2,1,no,no,yes
58.0,40.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.866,5228.1,2,0,6,0,1,4,2,1,no,no,no
29.0,10.0,27.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,0,2,6,0,1,4,0,1,no,no,yes
31.0,113.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,0,1,6,0,0,1,2,1,no,no,yes
27.0,191.0,5.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,1,6,4,1,no,no,no
60.0,481.0,1.0,999.0,1.0,-1.1,94.199,-37.5,0.886,4963.6,0,0,5,0,0,9,4,0,yes,no,yes
55.0,233.0,1.0,999.0,2.0,-3.4,92.431,-26.9,0.739,5017.5,2,1,5,0,0,8,1,0,no,yes,yes
37.0,204.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.334,5099.1,1,1,2,0,0,6,4,1,no,no,yes
46.0,180.0,1.0,999.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,7,1,3,0,0,0,1,1,no,no,yes
42.0,16.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,1,0,1,0,0,6,4,1,no,no,yes
35.0,447.0,3.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,0,2,6,0,0,3,1,1,no,no,yes
29.0,361.0,3.0,999.0,0.0,1.4,94.465,-41.8,4.865,5228.1,7,0,3,0,1,4,1,1,no,yes,no
32.0,1091.0,2.0,5.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,1,1,2,0,0,7,1,2,yes,no,no
37.0,395.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.313,5099.1,6,1,6,0,0,6,0,0,no,no,no
28.0,59.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.291,5099.1,0,2,3,0,0,6,3,1,no,no,yes
34.0,77.0,4.0,999.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,4,1,6,0,0,6,4,1,no,no,yes
31.0,768.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,9,2,3,0,0,1,3,1,yes,yes,yes
31.0,96.0,5.0,999.0,0.0,1.4,93.444,-36.1,4.962,5228.1,0,1,6,0,0,1,2,1,no,no,yes
31.0,357.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,0,2,6,0,1,4,4,1,no,no,yes
38.0,459.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,6,2,6,0,1,6,2,1,no,no,no
33.0,11.0,6.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,10,1,2,0,1,4,0,1,no,no,no
32.0,264.0,12.0,999.0,0.0,1.4,93.444,-36.1,4.966,5228.1,9,2,6,0,0,1,3,1,no,no,no
41.0,204.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,0,0,3,0,1,4,3,1,no,no,yes
57.0,374.0,1.0,2.0,1.0,-1.8,93.075,-47.1,1.365,5099.1,5,1,6,0,0,0,2,2,no,no,yes
38.0,252.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,2,0,6,0,0,7,2,1,no,no,yes
46.0,158.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,1,6,3,1,no,no,yes
37.0,95.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,10,2,6,0,0,7,3,1,no,yes,yes
45.0,505.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,0,2,6,0,0,1,2,1,yes,no,no
36.0,16.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1,1,1,0,1,3,4,1,no,no,yes
40.0,300.0,5.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,10,2,3,0,0,3,1,1,no,no,yes
38.0,180.0,2.0,999.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,1,1,2,0,0,7,3,0,no,no,no
25.0,274.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,6,1,6,0,1,6,0,1,no,no,yes
30.0,135.0,5.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,1,2,1,0,1,3,3,1,no,no,yes
43.0,257.0,2.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,4,1,5,0,0,7,3,1,no,no,no
31.0,157.0,6.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,9,1,5,0,1,6,4,1,no,no,yes
53.0,477.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,4,1,6,0,0,3,3,1,no,no,no
37.0,436.0,3.0,999.0,0.0,-1.8,92.893,-46.2,1.266,5099.1,7,1,3,0,0,6,2,1,no,yes,yes
33.0,483.0,2.0,999.0,0.0,-1.8,93.075,-47.1,1.41,5099.1,7,2,2,0,0,0,2,1,no,no,yes
44.0,259.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,2,1,5,0,1,6,1,1,no,no,no
38.0,389.0,2.0,999.0,0.0,1.4,93.918,-42.7,4.966,5228.1,1,1,1,0,1,3,2,1,no,no,yes
34.0,7.0,1.0,999.0,0.0,-1.7,94.055,-39.8,0.702,4991.6,1,1,2,0,1,4,3,1,no,no,no
47.0,123.0,1.0,999.0,0.0,-2.9,92.469,-33.6,1.029,5076.2,4,1,6,0,0,3,4,1,no,no,yes
59.0,92.0,1.0,999.0,0.0,-2.9,92.469,-33.6,1.085,5076.2,0,1,6,0,0,3,4,1,no,yes,yes
31.0,406.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,1,1,1,0,1,4,4,1,no,no,yes
56.0,104.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.12,5195.8,4,1,6,0,0,7,4,0,no,yes,yes
39.0,135.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.961,5228.1,0,1,6,0,1,4,1,1,no,no,no
41.0,854.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,2,1,6,0,0,7,3,1,yes,no,yes
41.0,147.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,4,0,1,0,0,7,2,1,no,no,yes
35.0,149.0,4.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,1,1,3,0,0,3,1,1,no,yes,no
58.0,144.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.334,5099.1,5,1,2,0,0,6,4,1,no,yes,no
25.0,394.0,2.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,6,1,5,0,1,4,4,1,no,no,yes
35.0,523.0,1.0,999.0,1.0,-1.8,92.893,-46.2,1.344,5099.1,1,0,2,0,0,6,3,0,no,no,yes
28.0,73.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,7,2,3,0,0,3,4,1,no,no,no
55.0,197.0,3.0,999.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,1,1,5,0,0,6,0,0,no,yes,yes
32.0,114.0,1.0,999.0,1.0,-1.8,93.075,-47.1,1.41,5099.1,1,1,2,0,0,0,2,0,no,no,yes
75.0,109.0,1.0,999.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,5,1,0,0,0,0,3,0,yes,no,no
29.0,181.0,2.0,999.0,0.0,1.4,93.444,-36.1,4.967,5228.1,4,1,6,0,0,1,4,1,no,yes,no
45.0,239.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,4,1,6,0,0,6,2,1,no,no,yes
38.0,360.0,1.0,999.0,0.0,-1.8,93.075,-47.1,1.392,5099.1,0,0,6,0,0,0,1,1,yes,no,no
24.0,314.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,7,2,5,0,1,6,1,1,no,no,yes
41.0,984.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,9,1,5,0,0,1,1,1,no,no,yes
58.0,663.0,1.0,999.0,0.0,-2.9,92.963,-40.8,1.262,5076.2,5,0,3,0,0,4,3,1,yes,no,yes
34.0,157.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,1,6,4,1,no,yes,no
34.0,141.0,2.0,999.0,0.0,-1.1,94.767,-50.8,1.05,4963.6,0,1,6,0,0,7,1,1,no,no,no
37.0,374.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.856,5191.0,9,0,5,0,1,6,4,1,no,no,no
53.0,706.0,1.0,999.0,0.0,1.4,94.465,-41.8,4.959,5228.1,1,0,0,0,1,4,4,1,yes,no,no
54.0,797.0,14.0,999.0,0.0,1.4,93.918,-42.7,4.961,5228.1,9,0,5,0,0,3,3,1,no,yes,yes
32.0,250.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.153,5195.8,9,0,5,0,0,7,3,1,no,no,yes
42.0,311.0,6.0,999.0,0.0,1.4,93.918,-42.7,4.962,5228.1,0,1,3,0,0,3,0,1,no,no,yes
28.0,63.0,2.0,3.0,1.0,-2.9,92.201,-31.4,0.851,5076.2,9,2,5,0,0,1,2,2,yes,no,yes
33.0,111.0,1.0,999.0,0.0,1.1,93.994,-36.4,4.864,5191.0,7,2,3,0,1,6,0,1,no,no,yes
41.0,148.0,2.0,999.0,0.0,-1.8,93.075,-47.1,1.405,5099.1,1,1,2,0,0,0,1,1,no,no,yes
31.0,49.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,7,1,3,0,0,7,2,1,no,yes,no
40.0,257.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,0,0,6,0,0,1,1,1,no,no,yes
82.0,279.0,3.0,3.0,2.0,-1.1,94.199,-37.5,0.877,4963.6,3,1,0,0,1,9,3,2,yes,no,no
28.0,113.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.96,5228.1,1,1,0,0,0,3,1,1,no,no,yes
31.0,309.0,1.0,6.0,3.0,-1.7,94.215,-40.3,0.835,4991.6,10,2,6,0,0,3,3,2,yes,no,yes
32.0,168.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,9,2,6,0,0,1,4,1,no,no,yes
54.0,153.0,1.0,999.0,0.0,1.4,93.444,-36.1,4.963,5228.1,1,1,0,0,0,1,3,1,no,no,yes
31.0,152.0,1.0,999.0,0.0,1.4,93.918,-42.7,4.963,5228.1,1,1,2,0,0,3,4,1,no,no,no
31.0,149.0,1.0,999.0,0.0,-1.8,92.893,-46.2,1.281,5099.1,0,2,3,0,0,6,4,1,no,yes,yes
32.0,640.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4.076,5195.8,10,1,3,0,0,7,2,1,no,no,yes
46.0,199.0,2.0,999.0,2.0,-1.1,94.767,-50.8,1.048,4963.6,0,2,3,0,0,7,1,0,no,no,yes
47.0,1114.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.299,5099.1,0,2,3,0,0,6,1,1,no,no,no
32.0,74.0,2.0,999.0,2.0,-1.1,94.767,-50.8,1.048,4963.6,0,2,3,0,0,7,1,0,no,no,no
45.0,738.0,3.0,6.0,1.0,-1.1,94.601,-49.5,1.029,4963.6,0,1,3,0,0,8,0,2,yes,no,yes
32.0,374.0,2.0,999.0,0.0,-1.8,92.893,-46.2,1.313,5099.1,0,1,6,0,0,6,0,1,no,no,yes
49.0,344.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.855,5191.0,7,1,3,0,1,6,0,1,no,no,yes
46.0,148.0,10.0,999.0,0.0,1.4,94.465,-41.8,4.864,5228.1,0,1,3,0,1,4,4,1,no,yes,yes
46.0,383.0,1.0,999.0,0.0,-1.1,94.767,-50.8,1.028,4963.6,1,1,5,0,0,7,0,1,no,no,no
38.0,35.0,6.0,999.0,0.0,1.4,93.444,-36.1,4.965,5228.1,0,1,6,0,0,1,3,1,no,no,yes
44.0,124.0,3.0,999.0,0.0,1.1,93.994,-36.4,4.864,5191.0,9,1,5,0,1,6,0,1,no,no,no
47.0,345.0,7.0,999.0,0.0,1.4,93.444,-36.1,4.964,5228.1,9,1,6,0,0,1,4,1,no,no,yes
40.0,951.0,2.0,999.0,0.0,1.1,93.994,-36.4,4.858,5191.0,1,1,2,0,1,6,4,1,no,yes,yes
