num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes,color_is_color,language__English,language__French,language__Spanish,language__Mandarin,country__USA,country__UK,country__France,country__Germany,genre__Drama,genre__Comedy,genre__Thriller,genre__Action,genre__Romance,genre__Adventure,genre__Crime,genre__Fantasy,genre__Sci-Fi,genre__Family,genre__Horror,genre__Mystery,genre__Biography,genre__Animation,genre__War,genre__Music,genre__History,genre__Sport,genre__Musical,genre__Western,genre__Documentary,genre__Film-Noir
723.0,178.0,0.0,855.0,1000.0,886204.0,4834.0,0.0,3054.0,237000000.0,2009.0,936.0,1.78,33000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302.0,169.0,563.0,1000.0,40000.0,471220.0,48350.0,0.0,1238.0,300000000.0,2007.0,5000.0,2.35,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602.0,148.0,0.0,161.0,11000.0,275868.0,11700.0,1.0,994.0,245000000.0,2015.0,393.0,2.35,85000.0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.0,164.0,22000.0,23000.0,27000.0,1144337.0,106759.0,0.0,2701.0,250000000.0,2012.0,23000.0,2.35,164000.0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462.0,132.0,475.0,530.0,640.0,212204.0,1873.0,1.0,738.0,263700000.0,2012.0,632.0,2.35,24000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
392.0,156.0,0.0,4000.0,24000.0,383056.0,46055.0,0.0,1902.0,258000000.0,2007.0,11000.0,2.35,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324.0,100.0,15.0,284.0,799.0,294810.0,2036.0,1.0,387.0,260000000.0,2010.0,553.0,1.85,29000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
635.0,141.0,0.0,19000.0,26000.0,462669.0,92000.0,4.0,1117.0,250000000.0,2015.0,21000.0,2.35,118000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
375.0,153.0,282.0,10000.0,25000.0,321795.0,58753.0,3.0,973.0,250000000.0,2009.0,11000.0,2.35,10000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
673.0,183.0,0.0,2000.0,15000.0,371639.0,24450.0,0.0,3018.0,250000000.0,2016.0,4000.0,2.35,197000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434.0,169.0,0.0,903.0,18000.0,240396.0,29991.0,0.0,2367.0,209000000.0,2006.0,10000.0,2.35,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
403.0,106.0,395.0,393.0,451.0,330784.0,2023.0,1.0,1243.0,200000000.0,2008.0,412.0,2.35,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313.0,151.0,563.0,1000.0,40000.0,522040.0,48486.0,2.0,1832.0,225000000.0,2006.0,5000.0,2.35,5000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.0,150.0,563.0,1000.0,40000.0,181792.0,45757.0,1.0,711.0,215000000.0,2013.0,2000.0,2.35,48000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
733.0,143.0,0.0,748.0,15000.0,548573.0,20495.0,0.0,2536.0,225000000.0,2013.0,3000.0,2.35,118000.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258.0,150.0,80.0,201.0,22000.0,149922.0,22697.0,4.0,438.0,225000000.0,2008.0,216.0,2.35,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
