squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,hasStormProtector,basement,attic,garage,hasGuestRoom
75523.0,3.0,0.0,1.0,63.0,9373.0,3.0,8.0,1.0,4313.0,9005.0,956.0,7.0
80771.0,39.0,1.0,1.0,98.0,39381.0,8.0,6.0,0.0,3653.0,2436.0,128.0,2.0
55712.0,58.0,0.0,1.0,19.0,34457.0,6.0,8.0,0.0,2937.0,8852.0,135.0,9.0
32316.0,47.0,0.0,0.0,6.0,27939.0,10.0,4.0,1.0,659.0,7141.0,359.0,3.0
70429.0,19.0,1.0,1.0,90.0,38045.0,3.0,7.0,0.0,8435.0,2429.0,292.0,4.0
39223.0,36.0,0.0,1.0,17.0,39489.0,8.0,6.0,1.0,2009.0,4552.0,757.0,1.0
58682.0,10.0,1.0,1.0,99.0,6450.0,10.0,9.0,1.0,5930.0,9453.0,848.0,5.0
86929.0,100.0,1.0,0.0,11.0,98155.0,3.0,4.0,0.0,6326.0,4748.0,654.0,10.0
51522.0,3.0,0.0,0.0,61.0,9047.0,8.0,3.0,1.0,632.0,5792.0,807.0,5.0
39686.0,42.0,0.0,0.0,15.0,71019.0,5.0,8.0,1.0,5198.0,5342.0,591.0,3.0
23563.0,21.0,0.0,1.0,90.0,91058.0,6.0,8.0,0.0,703.0,852.0,684.0,10.0
96470.0,74.0,1.0,0.0,21.0,92029.0,4.0,2.0,1.0,5414.0,1172.0,716.0,9.0
19127.0,31.0,1.0,0.0,5.0,7475.0,2.0,9.0,0.0,5387.0,4430.0,374.0,4.0
13087.0,44.0,1.0,0.0,77.0,40475.0,8.0,4.0,0.0,1745.0,724.0,582.0,0.0
79770.0,3.0,0.0,1.0,69.0,54812.0,10.0,5.0,1.0,8871.0,7117.0,240.0,7.0
75985.0,60.0,1.0,0.0,67.0,6517.0,6.0,9.0,1.0,4878.0,281.0,384.0,5.0
64169.0,88.0,0.0,1.0,6.0,61711.0,3.0,9.0,1.0,3054.0,129.0,726.0,9.0
99371.0,31.0,1.0,1.0,16.0,96297.0,7.0,8.0,1.0,3258.0,6296.0,354.0,8.0
25966.0,37.0,1.0,1.0,17.0,22818.0,3.0,1.0,0.0,8257.0,2557.0,162.0,6.0
